Index,State
1,Arkansas
2,Kentucky
3,Louisiana
4,Maine
5,Maryland
6,Massachusetts
7,Michigan
8,Minnesota
9,Mississippi
10,Missouri
11,Montana
12,Nebraska
13,Nevada
14,New Hampshire
15,New Mexico
16,North Carolina
17,North Dakota
18,Oklahoma
19,Oregon
20,Pennsylvania
21,Rhode Island
22,South Carolina
23,South Dakota
24,Tennessee
25,Texas
26,Vermont
27,Virginia
28,West Virginia
29,Wisconsin
30,Wyoming
